id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
802206,Stay at Plaka's Cathedral square & walk everywhere,4222546,Paris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.975871422423694,23.731403546421024,Entire home/apt,40,4,24,2018-07-10,0.47,3,106
802244,"Your clean,quiet,cozy Kolonaki stay",4222546,Paris,,ΚΟΛΩΝΑΚΙ,37.977114261751865,23.745299015899572,Entire home/apt,40,4,22,2018-06-30,0.58,3,60
807239,Appartment @ Kypriadou district,4248171,Natasha,,ΑΝΩ ΠΑΤΗΣΙΑ,38.021204127552274,23.740732787531844,Entire home/apt,24,3,4,2017-12-17,0.11,1,363
809874,Wonderfull Penthouse!!,4259738,George,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96428518958284,23.72193851875089,Entire home/apt,86,3,47,2018-07-04,0.73,1,345
811912,PETIT APPARTEMENT A  ATHENES G3  ,3961722,Eurydice,,ΑΝΩ ΚΥΨΕΛΗ,38.008054490727446,23.738557184527124,Entire home/apt,20,5,15,2017-11-03,0.23,3,365
814119,Athens Greece. Kolonaki City Centre,4277991,Lietta,,ΚΟΛΩΝΑΚΙ,37.97998649179491,23.75132855546017,Entire home/apt,100,1,2,2018-06-27,0.77,1,365
814643,DRINA,4280158,Giorgos,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98402491184483,23.754832802039612,Entire home/apt,26,2,30,2018-05-14,0.59,1,3
814729,Breathtaking Acropolis Family home,4280520,Dionissis,,ΑΚΡΟΠΟΛΗ,37.969837687713856,23.728101247599295,Entire home/apt,66,5,45,2018-07-02,0.69,1,22
825281,ACROPOLIS VIEW 3 min Museum/Metro,121708,Helena,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96695984145873,23.72865354828983,Entire home/apt,64,2,187,2018-06-29,2.74,20,336
837630,Stylish 1 bed'm apt. Roof top. Great views!,1418201,Dean,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97974654367747,23.724852616151985,Entire home/apt,62,2,14,2017-07-22,0.23,58,298
837712,Large apt. Roof top with great views!,1418201,Dean,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.978496519055604,23.72537147945209,Entire home/apt,68,2,13,2018-01-01,0.29,58,274
837952,Trendy apts. Roof top terrace with amazing views!,1418201,Dean,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.978584392595536,23.725948299029053,Entire home/apt,131,2,32,2018-06-15,0.51,58,282
841788,"Youthful , bright maisonette in central Athens",4395551,Akis,,ΚΥΨΕΛΗ,37.99912787704554,23.739971383672618,Entire home/apt,50,5,1,2013-07-07,0.02,13,59
841795,"Cozy, independent studio in Athens center",4395551,Akis,,ΚΥΨΕΛΗ,37.99914089711302,23.740212323380693,Entire home/apt,35,5,0,,,13,323
841806,"Modern,independent studio in Athens with city view",4395551,Akis,,ΚΥΨΕΛΗ,38.000653709903624,23.739710296465375,Entire home/apt,40,3,0,,,13,288
849434,Quiet apartm in a safe area behind the U.S embassy,4434520,Ioanna,,ΚΟΛΩΝΑΚΙ,37.98155120038301,23.75306812387394,Entire home/apt,95,1,17,2017-08-03,0.34,1,343
850186,- Athens super central mini apt,1643308,Sven-Erik,,ΙΛΙΣΙΑ,37.97629079099557,23.75631428127307,Entire home/apt,26,2,143,2018-05-30,2.24,2,338
868095,Amazing Loft for 3 / Athens Center,4570845,Antonis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.985846360883805,23.733533325094186,Entire home/apt,59,2,25,2018-07-08,0.90,1,353
878526,Your Home Away from Home-Hilton Area,4544938,Artemis,,ΙΛΙΣΙΑ,37.978135903896835,23.753883218255528,Entire home/apt,80,2,18,2018-06-21,0.38,1,320
884724,83sqm Kolonaki Acropolis view,4686834,Claus,,ΚΟΛΩΝΑΚΙ,37.97909558357965,23.743447080028464,Entire home/apt,56,2,61,2018-05-28,0.93,1,70
886724,Luxury Boutique Appartment -Athens,4700824,Athina,,ΚΥΨΕΛΗ,37.99671141569819,23.737603932414036,Entire home/apt,57,3,19,2018-07-12,0.40,1,339
